docName,experiment_type,operators_max,iterations,reduced,original_height,last_page_height,gained,cost,time_taken,max_len_tree,compilations,operators_applied
AUPCR Maximizing Matchings,loop-search-separate,2,1,True,29.887800000000198,0,29.887800000000198,76.71999999999998,66.57165026664734,202,1,1
Fair Conformal Predictors,loop-search-separate,2,2,True,29.887800000000198,0,29.887800000000198,99.17739999999998,129.74942755699158,37,2,2
Generative structured normalizing,loop-search-separate,2,2,True,29.887800000000198,0,29.887800000000198,68.04722999999997,145.16928696632385,165,2,2
Let There Be,loop-search-separate,2,5,True,29.887800000000198,0,29.887800000000198,39.786059450000025,329.6688051223755,228,5,5
Toward a Human-Level,loop-search-separate,2,2,True,29.887800000000198,0,29.887800000000198,26.750621624999937,128.69220972061157,86,2,2
Towards Cognitive Robots,loop-search-separate,2,2,True,29.887800000000198,0,29.887800000000198,66.613199075,145.68154740333557,20,2,2
