docName,experiment_type,operators_max,iterations,reduced,original_height,last_page_height,gained,cost,time_taken,max_len_tree,compilations,operators_applied
2318_18,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,7.852799999999945,9.014312267303467,-1,1,1
24147,loop-greedy-separate,2,1,True,29.887800000000198,0.0,29.887800000000198,49.04446199999998,6.142191171646118,-1,1,1
A Comparison of,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,10.659515199999987,8.359904050827026,-1,1,1
A Critical Look,loop-greedy-separate,2,1,True,29.887800000000198,0.0,29.887800000000198,18.036143999999993,15.037933826446533,-1,2,2
A Domain Generalization,loop-greedy-separate,2,10,False,29.887800000000198,29.887800000000198,0.0,0.0,2.726532220840454,-1,0,0
A Knowledge Driven,loop-greedy-separate,2,10,False,26.899199999999723,0.0,26.899199999999723,5.325347199999982,7.257480621337891,-1,1,1
A Multilayer Convolutional,loop-greedy-separate,2,3,True,29.887800000000198,0.0,29.887800000000198,87.82320006000003,23.386295318603516,-1,5,5
A Natural Language,loop-greedy-separate,2,10,False,28.39350000000013,0.0,28.39350000000013,16.671823224999983,23.585886240005493,-1,3,3
A Question-Answering Approach,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,5.556257600000009,7.329860687255859,-1,1,1
A Student-Teacher Architecture,loop-greedy-separate,2,2,True,29.887800000000198,0.0,29.887800000000198,56.466693400000025,21.66105556488037,-1,4,4
A Unified Implicit,loop-greedy-separate,2,3,True,29.887800000000198,0.0,29.887800000000198,34.53705027500004,24.80696201324463,-1,5,5
Abusive Language Detection,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,64.26928578750011,14.005702495574951,-1,2,2
Accelerating the Development,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,15.847272799999956,10.764880418777466,-1,2,2
Accurate and Interpretable,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,17.45277279999999,11.68555235862732,-1,2,2
Action Branching Architectures,loop-greedy-separate,2,1,True,29.887800000000198,0.0,29.887800000000198,21.282401599999986,10.656916856765747,-1,2,2
AUPCR Maximizing Matchings,loop-greedy-separate,2,3,True,29.887800000000198,0.0,29.887800000000198,50.21997559999997,37.661128997802734,-1,6,6
Balanced Linear Contextual,loop-greedy-separate,2,2,True,28.39350000000013,0.0,28.39350000000013,41.36477279999997,17.71617841720581,-1,3,3
Beyond,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,15.660505349999937,12.46635627746582,-1,2,2
Bidirectional Temporal Plan,loop-greedy-separate,2,2,True,29.887800000000198,0.0,29.887800000000198,42.854987839999936,26.014724731445312,-1,4,4
BOK,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,27.179360799999927,20.979435443878174,-1,3,3
Capturing Delayed Feedback,loop-greedy-separate,2,3,True,29.887800000000198,0.0,29.887800000000198,51.34506962500001,29.8229398727417,-1,5,5
Cisco at AAAI-CAD21,loop-greedy-separate,2,1,True,29.887800000000198,0.0,29.887800000000198,21.81282080000001,10.939272165298462,-1,2,2
Crowdsourcing real-time viral,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,13.790515200000016,8.707314252853394,-1,1,1
Deep Just-In-Time Inconsistency,loop-greedy-separate,2,10,False,36.86179999999979,0.0,36.86179999999979,5.474257600000016,8.781154155731201,-1,1,1
Deep Open Intent,loop-greedy-separate,2,2,True,29.887800000000198,0.0,29.887800000000198,29.976140149999935,14.477449417114258,-1,3,3
Deep Spiking Neural,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,23.820030400000007,27.825263023376465,-1,2,2
Delving into Sample,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,38.59003039999993,14.58572244644165,-1,2,2
Detection of social,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,13.237216799999942,10.356423139572144,-1,2,2
Deterministic and Discriminative,loop-greedy-separate,2,2,True,29.887800000000198,0.0,29.887800000000198,17.80498654850001,25.002132415771484,-1,3,3
Discriminative Sentence Modeling,loop-greedy-separate,2,10,False,28.39350000000013,0.0,28.39350000000013,19.549272799999983,11.574627161026001,-1,2,2
Evaluating Digital Agriculture,loop-greedy-separate,2,10,False,26.899199999999723,0.0,26.899199999999723,18.50927280000002,13.053542137145996,-1,2,2
Evaluating Sequence-to-Sequence Learning,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,37.452272799999946,17.51079225540161,-1,4,4
Evaluation of a,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,17.108492825000013,11.372945547103882,-1,2,2
Evaluation of Fake,loop-greedy-separate,2,2,True,29.887800000000198,0.0,29.887800000000198,11.22247879999999,19.312793016433716,-1,3,3
Evolutionarily-Curated Curriculum Learning,loop-greedy-separate,2,1,True,29.887800000000198,0.0,29.887800000000198,43.67249009999999,8.530670881271362,-1,2,2
Expected Value of,loop-greedy-separate,2,2,True,29.887800000000198,0.0,29.887800000000198,22.333830799999973,19.1732280254364,-1,3,3
Explainable Failure Predictions,loop-greedy-separate,2,10,False,26.899199999999723,0.0,26.899199999999723,2.5353303999999923,8.066110610961914,-1,1,1
Explaining Reward Functions,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,18.682151599999997,11.030194997787476,-1,2,2
Exploiting Cross-Lingual Subword,loop-greedy-separate,2,1,True,26.899200000000064,0.0,26.899200000000064,0.0,21.928502082824707,-1,1,1
Exploiting Language Models,loop-greedy-separate,2,2,True,29.887800000000198,0.0,29.887800000000198,30.404537759999982,17.486006021499634,-1,3,3
Exploiting Multiple Abstractions,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,30.716655075000006,41.63628029823303,-1,4,4
Exploring Gameplay With,loop-greedy-separate,2,3,True,29.887800000000198,0.0,29.887800000000198,56.560449199999965,20.275628805160522,-1,5,5
Exploring the Efficacy,loop-greedy-separate,2,2,True,29.887800000000198,0.0,29.887800000000198,66.88919464775998,23.076351404190063,-1,4,4
Fair Conformal Predictors,loop-greedy-separate,2,2,True,29.887800000000198,0.0,29.887800000000198,40.0,37.82946467399597,-1,4,4
Fast and Knowledge-Free,loop-greedy-separate,2,10,False,29.887800000000198,0.0,29.887800000000198,12.553515199999993,10.23470425605774,-1,1,1
Few-Shot Learning for,loop-greedy-separate,2,1,True,29.887800000000198,0.0,29.887800000000198,13.132669050000004,9.057837963104248,-1,2,2
