docName,experiment_type,operators_max,iterations,reduced,original_height,last_page_height,gained,cost,time_taken,max_len_tree,operators_count
That_s Mine! Learning,greedy-separate,2,1,False,28.39350000000013,28.39350000000013,0.0,9.334368949999984,9.068087577819824,-1,0
The Complexity of,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,23.155515200000025,16.221105813980103,-1,0
Title-Guided Encoding for,greedy-separate,2,1,False,26.899199999999723,17.932799999999816,8.966399999999908,18.002806900000053,9.615708351135254,-1,0
Token-Level,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,18.671886399999963,12.31019139289856,-1,0
Token-Level Contrastive Learning,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,21.70840159999996,11.507155895233154,-1,0
Top-N Recommender System,greedy-separate,2,1,False,26.899199999999723,26.899199999999723,0.0,11.078381474999958,8.609808683395386,-1,0
Topical Phrase Extraction,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,15.026811349999988,7.778365850448608,-1,0
Topological Pooling on,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,22.160651600000023,24.568286180496216,-1,0
Toward a Human-Level,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,18.848136400000016,7.988925457000732,-1,0
Towards an Integrative,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,9.13238640000003,17.21562671661377,-1,0
Towards Autonomous Satellite,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,21.231651599999935,14.022318124771118,-1,0
Towards Cognitive Robots,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,11.87451519999999,9.700444221496582,-1,0
Treatment effect estimation,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,18.79079999999999,7.665583372116089,-1,0
