docName,experiment_type,operators_max,iterations,reduced,original_height,last_page_height,gained,cost,time_taken,max_len_tree,compilations,operators_applied
2318_18,loop-greedy-atOnce,2,10,False,29.887800000000198,0.0,29.887800000000198,7.852799999999945,31.823264837265015,-1,1,2
24147,loop-greedy-atOnce,2,1,True,29.887800000000198,0.0,29.887800000000198,49.04446199999998,6.478442430496216,-1,1,2
A Comparison of,loop-greedy-atOnce,2,10,False,29.887800000000198,0.0,29.887800000000198,10.659515199999987,29.309369325637817,-1,1,2
A Critical Look,loop-greedy-atOnce,2,1,True,29.887800000000198,0.0,29.887800000000198,18.036143999999993,13.795648336410522,-1,2,4
A Domain Generalization,loop-greedy-atOnce,2,10,False,29.887800000000198,29.887800000000198,0.0,0.0,29.639972925186157,-1,0,0
A Knowledge Driven,loop-greedy-atOnce,2,10,False,26.899199999999723,0.0,26.899199999999723,5.325347199999982,30.80938458442688,-1,1,2
A Multilayer Convolutional,loop-greedy-atOnce,2,2,True,29.887800000000198,0.0,29.887800000000198,76.15206366000001,18.682668924331665,-1,4,8
A Natural Language,loop-greedy-atOnce,2,10,False,28.39350000000013,0.0,28.39350000000013,16.671823224999983,45.82957696914673,-1,3,6
A Question-Answering Approach,loop-greedy-atOnce,2,10,False,29.887800000000198,0.0,29.887800000000198,5.556257600000009,30.508530139923096,-1,1,2
A Student-Teacher Architecture,loop-greedy-atOnce,2,2,True,29.887800000000198,0.0,29.887800000000198,56.466693400000025,20.473942756652832,-1,4,8
A Unified Implicit,loop-greedy-atOnce,2,3,True,29.887800000000198,0.0,29.887800000000198,34.53705027500004,25.985207557678223,-1,5,10
Abusive Language Detection,loop-greedy-atOnce,2,10,False,29.887800000000198,0.0,29.887800000000198,64.26928578750011,40.131606578826904,-1,2,4
Accelerating the Development,loop-greedy-atOnce,2,10,False,29.887800000000198,0.0,29.887800000000198,15.847272799999956,32.522928953170776,-1,2,4
Accurate and Interpretable,loop-greedy-atOnce,2,10,False,29.887800000000198,0.0,29.887800000000198,17.45277279999999,33.29049277305603,-1,2,4
Action Branching Architectures,loop-greedy-atOnce,2,1,True,29.887800000000198,0.0,29.887800000000198,21.282401599999986,10.52801513671875,-1,2,4
AUPCR Maximizing Matchings,loop-greedy-atOnce,2,3,True,29.887800000000198,0.0,29.887800000000198,50.21997559999997,38.48158860206604,-1,6,12
Balanced Linear Contextual,loop-greedy-atOnce,2,2,True,28.39350000000013,0.0,28.39350000000013,41.36477279999997,16.864897966384888,-1,3,6
Beyond,loop-greedy-atOnce,2,10,False,29.887800000000198,0.0,29.887800000000198,15.660505349999937,33.08609342575073,-1,2,4
Bidirectional Temporal Plan,loop-greedy-atOnce,2,2,True,29.887800000000198,0.0,29.887800000000198,31.23095303999993,22.352432250976562,-1,3,6
BOK,loop-greedy-atOnce,2,10,False,29.887800000000198,0.0,29.887800000000198,27.180360800000074,42.70856714248657,-1,3,6
Capturing Delayed Feedback,loop-greedy-atOnce,2,3,True,29.887800000000198,0.0,29.887800000000198,51.34506962500001,29.14811635017395,-1,5,10
Cisco at AAAI-CAD21,loop-greedy-atOnce,2,1,True,29.887800000000198,0.0,29.887800000000198,21.81282080000001,10.764204263687134,-1,2,4
Crowdsourcing real-time viral,loop-greedy-atOnce,2,10,False,29.887800000000198,0.0,29.887800000000198,13.790515200000016,31.541449785232544,-1,1,2
Deep Just-In-Time Inconsistency,loop-greedy-atOnce,2,10,False,36.86179999999979,0.0,36.86179999999979,5.474257600000016,33.861194372177124,-1,1,2
Deep Open Intent,loop-greedy-atOnce,2,2,True,29.887800000000198,0.0,29.887800000000198,29.976140149999935,14.906967878341675,-1,3,6
Deep Spiking Neural,loop-greedy-atOnce,2,10,False,29.887800000000198,0.0,29.887800000000198,23.820030400000007,90.04047989845276,-1,2,4
Delving into Sample,loop-greedy-atOnce,2,10,False,29.887800000000198,0.0,29.887800000000198,38.59003039999993,36.309139013290405,-1,2,4
Detection of social,loop-greedy-atOnce,2,10,False,29.887800000000198,0.0,29.887800000000198,13.237216799999942,30.01603627204895,-1,2,4
Deterministic and Discriminative,loop-greedy-atOnce,2,2,True,29.887800000000198,0.0,29.887800000000198,17.80498654850001,25.313857555389404,-1,3,6
