docName,experiment_type,operators_max,iterations,reduced,original_height,last_page_height,gained,cost,time_taken,max_len_tree,compilations,operators_applied
2318_18,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,12.617599999999982,27.225260972976685,10,2,4
24147,search-atOnce,2,1,True,29.887800000000198,0.0,29.887800000000198,49.04446199999998,21.363978385925293,66,1,2
A Comparison of,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,12.664878799999997,21.326704502105713,14,2,4
A Critical Look,search-atOnce,2,1,True,29.887800000000198,0.0,29.887800000000198,20.713386400000033,20.96738076210022,141,2,4
A Domain Generalization,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,2.5353304000000065,12.503970861434937,5,1,2
A Knowledge Driven,search-atOnce,2,1,False,26.899199999999723,0.0,26.899199999999723,12.66267359999999,19.52690052986145,142,2,4
A Multilayer Convolutional,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,19.512684399999998,18.196593523025513,140,2,4
A Natural Language,search-atOnce,2,1,False,28.39350000000013,0.0,28.39350000000013,10.934131474999944,21.176847219467163,181,2,4
A Question-Answering Approach,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,15.203321599999981,13.570751190185547,152,1,2
A Student-Teacher Architecture,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,25.956894000000005,17.113006830215454,93,2,4
A Unified Implicit,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,8.563118950000018,24.65710687637329,323,2,4
Abusive Language Detection,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,85.75265588125009,18.59683585166931,104,2,4
Accelerating the Development,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,13.206644000000011,15.102275133132935,173,2,4
Action Branching Architectures,search-atOnce,2,1,True,29.887800000000198,0.0,29.887800000000198,8.707830899999976,21.517453908920288,389,2,4
AUPCR Maximizing Matchings,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,26.83193639999999,23.61584711074829,281,2,4
Balanced Linear Contextual,search-atOnce,2,1,True,28.39350000000013,0.0,28.39350000000013,22.649999999999977,11.847790718078613,97,1,2
Beyond,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,15.790470449999987,16.578557014465332,141,2,4
Bidirectional Temporal Plan,search-atOnce,2,1,True,29.887800000000198,0.0,29.887800000000198,26.83086048,20.194531202316284,168,2,4
BOK,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,14.503845599999977,19.19876003265381,68,2,4
Capturing Delayed Feedback,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,16.865306149999995,22.37479519844055,161,2,4
Cisco at AAAI-CAD21,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,13.202849799999996,19.979448318481445,24,2,4
Crowdsourcing real-time viral,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,10.735136400000002,18.317434549331665,49,2,4
Deep Just-In-Time Inconsistency,search-atOnce,2,1,True,36.86179999999979,0.0,36.86179999999979,97.55877058750002,12.798624515533447,32,1,2
Deep Open Intent,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,16.11137654999999,16.913554668426514,190,2,4
Deep Spiking Neural,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,17.865022800000006,40.756767988204956,204,2,4
Delving into Sample,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,18.9606364,18.883113622665405,47,2,4
Detection of social,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,18.65777279999992,14.15060567855835,142,2,4
Deterministic and Discriminative,search-atOnce,2,1,False,29.887800000000198,0.0,29.887800000000198,19.206022800000014,28.191130876541138,67,2,4
