,results simple greedy,results heuristic greedy,results non stop heuristic greedy,results model greedy,non stop results classification greedy,results regreession model greedy,results non stop regreession model greedy,results classification regreession model greedy
Reduced,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
Iterations,6.333333333333333,4.32258064516129,4.32258064516129,3.817204301075269,3.817204301075269,5.774193548387097,5.774193548387097,3.817204301075269
Time,36.78470645668686,24.84742046684347,24.73056900116705,18.953038400219334,18.979179777124877,32.831582512906806,32.61387308951347,19.00015987119367
Cost,41.33592227740135,49.52031584128448,49.52031584128448,39.1204010058225,39.1204010058225,42.320805766130356,42.320805766130356,39.1204010058225
Total_operators,6.333333333333333,12.451612903225806,12.451612903225806,19.462365591397848,19.462365591397848,5.881720430107527,5.881720430107527,19.462365591397848
