,results simple greedy,results heuristic greedy,results non stop heuristic greedy,results model greedy,non stop results classification greedy,results regreession model greedy,results non stop regreession model greedy,results classification regreession model greedy
Reduced,118.0,115.0,115.0,94.0,120.0,119.0,119.0,121.0
Iterations,6.253521126760563,4.391608391608392,4.391608391608392,3.397163120567376,4.23404255319149,5.809859154929577,5.809859154929577,4.205673758865248
Time,34.440529715846964,24.33653364481626,24.19865852636057,17.263250807498363,20.86111915703361,31.52071989422113,31.326071804677937,20.748919348344735
Cost,42.902258226250076,50.21150057270488,50.21150057270488,34.95964538002172,41.98632135415292,44.34977684202095,44.34977684202095,41.8075484426281
Total_operators,6.063380281690141,12.265734265734265,12.265734265734265,19.79432624113475,20.645390070921987,5.964788732394366,5.964788732394366,20.76595744680851
