,results simple greedy,results heuristic greedy,results non stop heuristic greedy,results model greedy,non stop results classification greedy,results regreession model greedy,results non stop regreession model greedy,results classification regreession model greedy
Reduced,3326.0,3348.0,3348.0,3414.0,3611.0,3355.0,3355.0,3609.0
Iterations,17.496692723992783,9.955197132616487,9.955197132616487,11.31195079086116,11.715037385765715,16.659016393442624,16.659016393442624,11.709891936824604
Time,32.28249493479657,19.68706188869875,20.30666875611354,22.388341123553555,23.697250140535306,31.839203700649755,31.547161293598293,24.642741067484167
Cost,117.06075242107379,124.02644215462755,124.02644215462755,126.22320291885497,130.1073773684894,116.01524304251167,116.01524304251167,130.08513858689597
Total_operators,17.496692723992783,30.591397849462364,30.591397849462364,118.15612185120094,119.56466352810855,17.055737704918034,17.055737704918034,119.60044333610418
