%% LaTeX2e file `data4.csv'
%% generated by the `filecontents' environment
%% from source `main_changed' on 2023/02/03.
%%
A,  B,  C, D
WV, 0.51, 0.65, 0.70
SB, 0.52, 0.65 , 0.75
RT, 0.51, 0.53, 0.62
T5, 0.54, 0.62, 0.64
EE, 0.62, 0.69, 0.75
LF, 0.45, 0.49, 0.48
$D_{PK}$, 0.74, 0.0, 0.0
