%% LaTeX2e file `data3.csv'
%% generated by the `filecontents' environment
%% from source `main_changed' on 2023/02/03.
%%
A, B,  C, D
WV, 0.98, 0.95, 0.96
SB, 0.98, 0.97, 0.95
RT, 0.98, 0.98, 0.97
T5, 0.99, 0.97, 0.95
EE, 0.98, 0.96, 0.96
LF, 0.95, 0.95, 0.97
$D_{PK}$, 0.99, 0.0, 0.0
